"","x"
"183","@Julescelt @DrLeanaWen @AshleyJudd How does it go?  Two wrongs don't make a right.
Out of something bad, rape, come… https://t.co/oF4ZhdmKPm"
"184","@YossiGestetner @SenatorRomney Insufficient evidence? Manafort is a know Russian agent. He helped Putin rape the Uk… https://t.co/Eu8tbdOlYA"
"185","@CNN Why not ban all the songwriters and groups ALIVE now who sing about how they degrade- rape- kill women?? This is ridiculous!"
"186","@ptcRob If they didn't completely rape the old war games back then it would have more respect"
"187","@stephaniebleuwo @ash_done @mmpadellan Waha!! everyone’s racist, everyone’s a nazi, everyone’s incompetent! It actu… https://t.co/SX8aHvztiw"
"188","Watched that fabled episode of #GreysAnantomy about the rape victim. It’s a timeout when the woman stays stop. That… https://t.co/cgdEm3OV9p"
"189","@CollegeFix @RyanAFournier I don’t recall Justice Cavanaugh being convicted of rape?
Now an accusation carries the… https://t.co/kew8qbCFW2"
"190","@LisaMoraitis1 My brothers sugarmama is one!
Literally thinks Mexicans will come over her border and rape her??"
"191","@nefkay They were braging about rape and filmed it then shared it in a chat group that Seungri had made. That chat… https://t.co/9ij64lVisg"
"192","@CatholicProdigy @MsuTrump @perojunak @JohnBarrESPN @pinepaula @nicole_noren @DanMurphyESPN @DwayneBrayESPN… https://t.co/6ddOC29Lz2"
"193","@CatholicProdigy @MsuTrump @perojunak @JohnBarrESPN @pinepaula @nicole_noren @DanMurphyESPN @DwayneBrayESPN… https://t.co/5zPcmrRHel"
"194","""We can bring out justice to sexual assault survivors that cry out, scream out, and demand and obviously deserve to… https://t.co/yAXFqRUQwf"
"195","@CBSNews So what would be the headline for a gang rape victim? “Women recovering from wild night of love making”?"
"196","Isabella Rossellini discussing duck rape might be one of the most NPR things NPR has ever done.

https://t.co/kevWAZkoWJ"
"197","@nefkay He was supported his friend when they shared videos of rape, he tried to help them destroy evidence, had a… https://t.co/AI4sMrOCCB"
"198","DNA from old razor helped solve two cases of rape and murder from 40 years ago https://t.co/f5aScU03mw"
"199","Interestingly the liberal white Lawrence educated Elite who claimed to be about Justice and her crying all the time… https://t.co/SKNDtL64Ex"
"200","@realHeatherD its ok for white guys to rape anybody they want.  no reasonto hide. the judge wont want to damage thwir future"
"201","This and Twana Brawley's rape two years before changed me forever. I wanted out from NYC. 

Not to mention everythi… https://t.co/p0SPNu56gT"
"202","America is run on hate?? You follow the hate laws of a madman. Your cult runs on invasion destruction conversion or… https://t.co/i09OUqtjna"
"203","A surprising amount of people have never really thought about the reason why Assange was granted asylum status in t… https://t.co/ASd8SCYQiK"
"204","Such a court jester, representing Venezuelan predatory oligarchs, who want to rape &amp; pillage their country again. https://t.co/BT8EKChr1y"
"205","A Tennessee Ridge City judge is being charged with three counts of rape of a child https://t.co/eal1nVN6aX https://t.co/9xxSdNqCde"
"206","@raman_sjm Why keep to herself only? Don’t make anyone larger than god. She suffered and she must share. Tomorrow y… https://t.co/v1r4meZ9Wx"
"207","@TheRealMrDTC 1 all star appearance, as a result of 80 games played, cannot be considered a great career. 

If he d… https://t.co/81mUxIXSVt"
"208","@gorillastyle @WSJ @BillClinton I’ve learned not to believe what I read from the corrupted media... I’ve heard her… https://t.co/wsX6axERDA"
"209","@manicpixiemama @solala_etcetera Right? I actually tried to focus more on the bury your gays because as a rape surv… https://t.co/06MyMrVNFe"
"210","Making murder illegal won’t stop murder therefore murder should be legal

Making robbery illegal won’t stop robbery… https://t.co/p7hBmSoV1U"
"211","NEW RELEASE: Always Good Enough https://t.co/34QRHiX6gB #Religion #Christianity #Prolife #adoption #rape #prochoice https://t.co/6SilZiAkEz"
"212","@AlexW8702 @TMFloralDesigns @i_womb @EveKeneinan @Lead1225 OMG stop using rape and dead women to excuse abortion. I… https://t.co/zyV5DiJi51"
"213","Bristol Man Charged With Child Rape (ICYMI) https://t.co/zZZo3eDIXI https://t.co/4FFbTNgIjs"
"214","We expanded the rape shield law and we’re already seeing results. 

“Viltus’ girlfriend is transgender, and her cas… https://t.co/ciG6ZCxece"
"215","@RainbowMeliodas @SparklyMochi @ResidentKendo2 @JacobLPeacock The best info I can find suggests that 12.5-15% are v… https://t.co/i9fjx4rklX"
"216","@deefizzy She definitely drugged people and stole, but she didn't fucking rape anyone. She's definitely wrong here,… https://t.co/e2pcFQUCWE"
"217","@RepDonBeyer @fairfaxcounty Justin Fairfax stands accused of rape. Northam &amp; Herring wear KKK hoods &amp; blackface. Do… https://t.co/N87r2lCyWD"
"218","@AliceAvizandum the prisoner term for rape in Sweden is shorter then the time he spent in the embassy"
"219","Dinesh D'Souza: Atheists Are Responsible For Much More Murder, Rape And ... https://t.co/0j0fS14R0F via @YouTube"
"220","I remember moving around New York as a black teen during the Central Park jogger rape case was such a dangerous tim… https://t.co/SVk2Os5gCK"
"221","Need a doctor or sex educator opinion about anal rape fears , please help ? via /r/rape https://t.co/KdIU69lj9H https://t.co/RiTvDjwwGt"
"222","Regretting consensual sex is not rape"
"223","@kriosphone Asia agernto might be spelling her name wrong, the leader of the times up movement her son was accused… https://t.co/xOIKmqZ4wd"
"224","@Exodus2019 What a crock of shit. A few paragraphs doesn't extinguish 14 centuries of rape, murder and enslavement… https://t.co/RCLTtNKp8h"
